file,text,angle,scale,blur,bx,by,bw,bh
bench01.jpg,晋L88139,2.2,0.83,0.9,315,285,369,130
bench02.jpg,京N32976,-5.0,0.63,1.1,359,285,282,111
bench03.jpg,沪C61113,-4.6,1.10,1.0,253,286,493,191
bench04.jpg,琼D03839,-6.5,0.76,0.5,328,285,344,144
bench05.jpg,沪Q05380,-5.4,0.63,0.5,357,285,285,114
bench06.jpg,宁A22142,1.9,0.80,0.8,323,285,354,123
bench07.jpg,鲁B29511,-7.8,0.92,0.4,290,285,419,182
bench08.jpg,冀K09198,-1.8,0.87,0.5,306,285,387,133
bench09.jpg,陕T45580,-1.9,0.98,1.2,283,286,433,150
bench10.jpg,贵Q99774,6.4,0.64,1.2,354,286,291,120
bench11.jpg,贵X32239,6.6,0.61,0.9,362,286,276,115
bench12.jpg,苏D03622,-4.8,0.78,1.0,325,286,350,136
bench13.jpg,苏T91247,-2.8,0.64,0.6,357,285,286,103
bench14.jpg,京V06416,0.2,0.95,1.2,291,285,418,135
bench15.jpg,桂W46421,-0.8,1.12,0.8,253,286,494,162
bench16.jpg,蒙F71470,-8.5,0.94,1.2,287,285,426,191
bench17.jpg,桂L41631,-7.8,1.08,0.8,255,286,489,212
bench18.jpg,渝H47467,4.1,0.62,0.5,362,285,276,105
bench19.jpg,晋P23521,5.0,0.81,0.9,318,286,364,143
bench20.jpg,闽Z14533,6.2,1.05,0.5,262,285,476,197
